"TOA5","CR3000_Estac","CR3000","4133","CR3000.Std.10","CPU:Betania_25_03.CR3","5021","Baixa"
"TIMESTAMP","RECORD","batt_volt_Min","PTemp","NRLite_Avg","CM3Up_Avg","CM3Dn_Avg","CG3UpCorr_Avg","CG3DnCorr_Avg","CNR1TC_Avg","CMA11Up_Avg","CMA11Dn_Avg","LI190S_Avg","VW_Avg","HFP01_Avg","STP01_50cm_Avg","STP01_20cm_Avg","STP01_10cm_Avg","STP01_5cm_Avg","STP01_2cm_Avg","CS106_Avg","HMP45C_Temp_Avg","HMP45C_RH_Avg","WindSpeed","WindDirection","TB4_Tot"
"TS","RN","","","W/m2","W/m2","W/m2","W/m2","W/m2","deg_C","W/m2","W/m2","umol/mol","%","W/m2","deg_C","deg_C","deg_C","deg_C","deg_C","hPa","dec_C","%","m/s","Deg","mm"
"","","Min","Smp","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","WVc:Averaged_Value","WVc:Averaged_Value","Tot"
"2011-04-04 16:40:00",50732,12.9,34.65,149.9493,276.5193,61.49266,437.2133,497.9655,35.64914,276.8015,62.03176,440.8702,0.2937829,2.739091,28.21774,29.13918,30.01448,30.43049,30.50945,1003.75,30.5529,58.32576,1.529453,69.93633,0
"2011-04-04 16:50:00",50733,12.87,34.44,133.2155,246.9633,55.9992,446.4555,494.9262,34.84171,252.6016,56.96024,398.7646,0.2936435,1.5232,28.22146,29.15318,29.95186,30.25787,30.27327,1003.767,30.26844,59.44961,1.730679,76.52055,0
"2011-04-04 17:00:00",50734,13.08,34.13,74.98811,147.5379,29.43305,446.5878,490.2066,33.92411,151.4373,30.94487,245.3157,0.2935203,0.7898378,28.22464,29.16345,29.88138,30.11409,30.13731,1003.767,30.16982,59.68092,1.5631,80.50954,0
"2011-04-04 17:10:00",50735,13.09,33.73,61.70807,140.9192,32.05517,441.771,487.6817,33.31648,145.7752,31.72553,233.7043,0.2934029,0.2298772,28.22858,29.16856,29.81043,30.00608,30.00478,1003.83,30.06447,60.6265,1.15395,88.30351,0
"2011-04-04 17:20:00",50736,12.87,33.45,58.14391,129.6103,30.31725,445.1972,487.7196,33.53885,134.376,28.47146,214.1481,0.2931941,-0.08475532,28.23404,29.16921,29.75125,29.90806,29.90662,1003.889,30.14897,60.99978,0.75999,80.22066,0
"2011-04-04 17:30:00",50737,12.57,33.18,25.18654,71.00694,11.68468,443.6387,482.3078,33.12041,74.03886,11.30769,121.7262,0.293042,-0.1509729,28.23759,29.16471,29.68965,29.82262,29.80065,1003.896,29.92739,61.70537,1.485189,84.42301,0
"2011-04-04 17:40:00",50738,12.52,32.76,5.040515,33.10262,5.738005,454.5369,480.7071,32.10638,35.31267,7.069864,59.00538,0.292947,-1.173982,28.24304,29.16151,29.62916,29.7277,29.6473,1003.865,29.75036,62.70497,0.8396971,73.22036,0
"2011-04-04 17:50:00",50739,12.48,32.32,1.605751,19.195,3.761206,464.9362,480.4674,31.63459,20.12,4.467034,31.25317,0.2928063,-1.851085,28.24702,29.15164,29.57015,29.62713,29.50561,1003.992,29.6767,63.25351,0.92169,338.3692,0
"2011-04-04 18:00:00",50740,12.47,31.9,-12.12226,4.448667,0.1739304,455.4227,476.5296,31.04784,5.350677,0.8306886,11.96391,0.292716,-2.195764,28.25073,29.13998,29.50458,29.51741,29.35449,1004.202,29.29793,65.31442,0.9752629,74.05889,0
"2011-04-04 18:10:00",50741,12.46,31.46,-17.78553,0.4036008,0.06127134,450.6758,473.6909,30.50605,0.8258451,0.2079146,3.973761,0.2926317,-3.166004,28.25723,29.12938,29.44061,29.42111,29.25569,1004.375,29.01007,66.48988,0.9259365,70.71916,0
